feature,importance
Desc_MinPartialCharge,0.01991846083062989
Desc_Kappa2,0.019624105135205662
Desc_MolWt,0.01800424658627632
Desc_Kappa3,0.017866099052438588
Olefin Trans,0.016586616871667775
Desc_Kappa1,0.016235071982093018
Desc_MaxPartialCharge,0.015921799321536475
Desc_HallKierAlpha,0.01487659115204917
Desc_BalabanJ,0.01401598238338104
DRFP_1077,0.013464689685693986
Desc_IsE_Olefin,0.013401685351150147
Desc_AromaticSubstituents,0.012035045484266418
Desc_FractionCsp3,0.011917246876503003
Desc_LogP,0.01101164395665511
Desc_NumRotatableBonds,0.010991182720096917
Desc_TPSA,0.010737305156330925
Olefin Cis,0.009845460566732961
Desc_IsDisubstituted,0.0098437321847379
Desc_CarbonSubstituents,0.007719278156551178
DRFP_303,0.007646149884305315
Desc_NumAromaticRings,0.00697660436477424
Desc_NumHAcceptors,0.0069463682792873516
DRFP_1800,0.006861266711974908
Desc_NumCarbonyl,0.006610871937747882
DRFP_964,0.006600258464467861
DRFP_529,0.006543105518530338
DRFP_1074,0.006535490928830327
DRFP_1355,0.00617941776542934
Desc_TotalSubstitution,0.005747943541221886
DRFP_338,0.005533717939968763
Desc_OlefinInRing,0.005498594594832016
DRFP_1822,0.00519637848127939
DRFP_1805,0.005011977626240727
DRFP_1807,0.004941061851631752
DRFP_340,0.0048428486363617336
Desc_IsZ_Olefin,0.0047469327764188395
Desc_IsUnspecifiedStereo,0.0046640838790632175
Desc_OlefinRingSize,0.004582930327458493
DRFP_1647,0.004483447735932831
Desc_NumSubstituents_C1,0.004306462934480228
DRFP_91,0.004234721894111355
DRFP_693,0.004094272344074571
DRFP_1790,0.004084343052632733
DRFP_673,0.004051689950650765
DRFP_1427,0.003914948799879893
DRFP_1058,0.0038573510453664096
DRFP_1033,0.003791172380280656
DRFP_551,0.0037570179256317887
DRFP_1555,0.003647440117625246
DRFP_1837,0.0036144063698413274
DRFP_1727,0.0035954669910363652
DRFP_260,0.0034835560142963884
DRFP_225,0.0034825189539266664
DRFP_33,0.0034492590968842403
DRFP_1945,0.0034371628004456244
DRFP_26,0.0034227449336365783
DRFP_1244,0.0033943837970092624
DRFP_1566,0.0033797528082959933
DRFP_1855,0.003340775878521276
DRFP_425,0.0033262761466289277
Desc_NumAliphaticCarbocycles,0.003236917011208373
DRFP_156,0.0032181249871721406
DRFP_2038,0.003084818923096005
DRFP_1290,0.0028918480226103327
DRFP_430,0.0027866090226654166
DRFP_1744,0.00277799677637289
Olefin Mono,0.002748541457390625
DRFP_173,0.0027483514656731177
DRFP_179,0.0027369284820689243
DRFP_1279,0.002727422720106987
DRFP_1218,0.0026502606528129805
DRFP_184,0.0026450184304365487
DRFP_467,0.0025856153105241193
DRFP_433,0.0025701183641566776
DRFP_1239,0.0025238610180910114
DRFP_1272,0.0025139821284349494
DRFP_380,0.0025066186441278795
DRFP_1113,0.002506573300460343
DRFP_1715,0.0025055943362739504
DRFP_1917,0.002462279080602022
Desc_NumAliphaticRings,0.0024521627920097784
DRFP_82,0.0024516124570483303
DRFP_1694,0.0024291835041053756
DRFP_35,0.002347234563075598
DRFP_1078,0.0023437089738863755
DRFP_1659,0.0023434334171988525
DRFP_1006,0.002330395102863979
Desc_NumAmine,0.002312562961035117
AD-mix alpha,0.002262482487145605
DRFP_1235,0.002256963110573613
DRFP_125,0.0022403995943149047
DRFP_1770,0.0022324541477177617
AD-mix beta,0.0022323372287925873
DRFP_1376,0.0022223310994994925
Desc_IsMonosubstituted,0.002216869853301148
DRFP_337,0.002177112345946459
DRFP_942,0.002143595288608904
DRFP_1115,0.0021168570029942587
DRFP_1650,0.0020635273940687597
DRFP_1916,0.002052351482218648
DRFP_36,0.002041010411615348
DRFP_873,0.002039479194618471
DRFP_43,0.0020226602076139576
DRFP_376,0.0020001221907309332
DRFP_939,0.0019931060809578504
DRFP_1675,0.001975089135208278
Olefin Tri,0.0019646017736269085
DRFP_60,0.0019628033465218632
DRFP_52,0.0019618527498836648
DRFP_611,0.0019250296830264865
DRFP_147,0.0019153788610916265
DRFP_1808,0.0019141726063595628
DRFP_968,0.0019088800395773281
DRFP_1120,0.0018870786176707827
DRFP_1891,0.0018837494606328972
DRFP_647,0.0018835133230324134
DRFP_356,0.0018732878494866776
DRFP_712,0.0018532352699483262
DRFP_1908,0.0018418776708539635
Desc_NumEster,0.001838052073718437
DRFP_981,0.0018286329098616946
DRFP_42,0.0017875822659090424
DRFP_1806,0.0017827117546850473
DRFP_1188,0.0017753151387493178
Desc_HeteroSubstituents,0.001757301707051716
DRFP_254,0.0017345110100532835
DRFP_998,0.0017215790323231973
DRFP_690,0.001695584585098959
DRFP_1389,0.0016913019661161449
Desc_IsTrisubstituted,0.001684491413586518
DRFP_884,0.0016416298848931613
DRFP_1092,0.0015993875335843244
DRFP_759,0.001598724170916054
DRFP_420,0.0015644148222608
DRFP_1995,0.0015541091361652721
DRFP_304,0.0015401257679907984
DRFP_1939,0.0014973293527565967
DRFP_1813,0.0014800757595474507
DRFP_327,0.0014746168264015487
DRFP_1465,0.0014550322833251181
DRFP_568,0.0014512939574825893
DRFP_805,0.0014456368730882837
DRFP_515,0.0014386482726901897
DRFP_390,0.0014302268946045438
DRFP_231,0.0014170567295814496
DRFP_323,0.001378872615285555
DRFP_1742,0.0013706646496835775
DRFP_738,0.0013703928190244789
DRFP_653,0.0013678945910954566
DRFP_1817,0.0013671857888798203
DRFP_1037,0.0013613745150927157
DRFP_1507,0.0013525176936548956
DRFP_1449,0.001350148218338678
DRFP_941,0.0013447891078708155
DRFP_2027,0.0013391210089234958
DRFP_556,0.0013109991778150042
DRFP_1156,0.0013042687665539953
DRFP_58,0.0012957275315567541
DRFP_1258,0.0012925685574345174
DRFP_1095,0.0012817610261189746
DRFP_1698,0.0012815619605801123
DRFP_787,0.0012794413918494963
Desc_Conjugated,0.0012783583549680938
DRFP_1338,0.0012662894809325408
DRFP_574,0.0012496783126264136
DRFP_1671,0.001245814957056829
DRFP_1123,0.0012232115230881174
DRFP_56,0.0012004378541786683
DRFP_832,0.0011898520014770185
DRFP_442,0.0011866563040894903
DRFP_21,0.0011842552741626016
DRFP_1380,0.0011836812142176716
DRFP_1794,0.0011809529948434514
DRFP_1020,0.0011793264166491103
DRFP_667,0.0011668385830102266
DRFP_1696,0.0011662920235027813
DRFP_439,0.00116588478985911
DRFP_3,0.0011612167532474558
DRFP_975,0.001139310007338314
DRFP_1435,0.0011334862384214123
DRFP_385,0.0011167456087433248
DRFP_1749,0.0011044676034161474
DRFP_623,0.0011022124784610524
DRFP_522,0.0010998842045594965
DRFP_1684,0.0010967650744564835
DRFP_345,0.0010935065072106539
DRFP_1474,0.0010931365078446342
DRFP_1503,0.001090413197847833
DRFP_1229,0.0010892741368472279
DRFP_751,0.0010821156512114743
DRFP_501,0.0010796011538276953
DRFP_847,0.001074831549156625
DRFP_1129,0.0010642150509996978
DRFP_643,0.0010582339319038883
DRFP_1578,0.0010575324905795448
DRFP_1450,0.0010570606554465782
DRFP_178,0.001056004596514444
DRFP_701,0.001054863605055605
DRFP_1789,0.0010496752741162069
DRFP_330,0.001037096462139697
DRFP_1169,0.0010354892148770013
DRFP_923,0.0010349174116255134
DRFP_1088,0.0010219434810629917
DRFP_978,0.0010084614429581168
DRFP_775,0.0010073966293560686
DRFP_391,0.0010072500112438178
DRFP_194,0.0010061881962121293
DRFP_581,0.0010020728862339694
DRFP_1932,0.0009946231524479493
DRFP_636,0.000993530276837668
Desc_NumAliphaticHeterocycles,0.0009851703706088464
DRFP_746,0.0009741536571702062
DRFP_635,0.0009697892234127716
DRFP_452,0.0009628657001350172
DRFP_59,0.0009598500151362001
DRFP_1155,0.0009563005065332474
DRFP_392,0.0009554379663378894
DRFP_198,0.0009547338420309987
DRFP_1753,0.0009540362857375343
DRFP_165,0.0009528862331179011
DRFP_129,0.0009458254395418647
DRFP_99,0.0009416544969013646
DRFP_1563,0.0009330354400245279
DRFP_1574,0.0009328162028400717
Desc_NumSubstituents_C2,0.000931288926671293
DRFP_1417,0.000926039734066549
DRFP_111,0.0009243415034338468
DRFP_778,0.0009204303880464459
DRFP_1207,0.0009122454225662201
DRFP_6,0.0008926054818905124
DRFP_1473,0.0008913522672976873
DRFP_1565,0.0008890731042742748
DRFP_824,0.0008856822303668317
DRFP_1315,0.0008848536330174852
DRFP_1702,0.0008836483212171579
DRFP_1346,0.0008806733306855884
DRFP_555,0.0008794381390322038
DRFP_1802,0.0008752580896557557
DRFP_1163,0.0008749582946274015
DRFP_1183,0.0008713973979387915
DRFP_1775,0.000870713705633679
DRFP_867,0.0008602393319971578
DRFP_874,0.0008598817790775418
DRFP_238,0.0008520686627258857
DRFP_587,0.0008510994149128492
DRFP_136,0.0008449972770679767
Olefin Gem,0.0008447825341910022
DRFP_1924,0.0008426455869552923
DRFP_1667,0.0008425699404560677
DRFP_9,0.0008351538011913029
DRFP_1638,0.0008202629833453057
DRFP_1317,0.0008089202605729832
Desc_IsGeminal,0.0008066886387343713
DRFP_857,0.0007939356131179394
DRFP_328,0.0007902215440284222
DRFP_935,0.0007858358763432035
DRFP_1900,0.0007852833630169801
DRFP_1411,0.000783951836971322
DRFP_188,0.0007747773973396728
DRFP_692,0.0007702672369947598
Desc_NumOH,0.0007677211805424824
DRFP_1034,0.000763931645828967
DRFP_861,0.0007633826896349671
DRFP_809,0.0007623208903172455
DRFP_1118,0.0007537162169498828
DRFP_1754,0.00075313413572696
DRFP_689,0.0007504825030253065
DRFP_883,0.0007485868132771038
DRFP_528,0.0007478729208726455
