feature,importance
Desc_Kappa2,0.018607172403702164
Desc_Kappa3,0.01780810808425263
Desc_FractionCsp3,0.017529348186280196
Desc_Kappa1,0.01601339275054826
Desc_LogP,0.015864291115207433
Desc_MinPartialCharge,0.015773126817089395
Desc_MolWt,0.014984159147757978
Desc_NumRotatableBonds,0.013173719560207015
DRFP_1341,0.01302752350565745
DRFP_1932,0.012744311764390332
Desc_MaxPartialCharge,0.012040991126428133
Desc_TPSA,0.011498822076543269
Desc_BalabanJ,0.011471521395142837
DRFP_1888,0.011066418719595811
Desc_HallKierAlpha,0.010996058581793948
Desc_HeteroSubstituents,0.008699796964953455
Desc_NumSubstituents_C1,0.008306941247887438
Desc_NumHAcceptors,0.007902273784773626
DRFP_251,0.007209345534642687
DRFP_1586,0.0070874791874118385
Desc_TotalSubstitution,0.006834924991752945
DRFP_807,0.006572569284650018
DRFP_882,0.006501404997663635
DRFP_1916,0.005706228753350814
DRFP_131,0.005638754745183062
Desc_CarbonSubstituents,0.005510988722720248
Desc_IsTrisubstituted,0.004949954788250279
DRFP_1221,0.0048872280419125945
Olefin Cis,0.0047362853070675795
DRFP_1410,0.004697626164990501
DRFP_625,0.004627554791948619
DRFP_1267,0.004576251624137915
DRFP_1156,0.004535501297943647
DRFP_380,0.004532250792257678
Desc_NumAliphaticCarbocycles,0.004423301029179805
Desc_OlefinInRing,0.004245393705610462
DRFP_100,0.004190409825311581
DRFP_294,0.00417849491295649
DRFP_156,0.004135909001705509
DRFP_1239,0.004105233324987571
DRFP_335,0.004099215186594615
DRFP_194,0.003995514934993238
DRFP_541,0.003947842077407028
DRFP_739,0.00389055893645257
DRFP_994,0.003748677443443
Desc_Conjugated,0.003742156339244508
Desc_OlefinRingSize,0.003729182394256342
DRFP_35,0.003667452448667081
DRFP_551,0.0034261229081206457
DRFP_396,0.0033562272313001594
Desc_NumAromaticRings,0.0032814094854161395
Desc_IsZ_Olefin,0.0032606352716259336
DRFP_383,0.003249247918225384
DRFP_1191,0.0031366689830589762
DRFP_766,0.003130625697752715
DRFP_888,0.0031149743958157755
DRFP_2027,0.003081507278528553
DRFP_1,0.0030610121061733792
DRFP_1265,0.0030490320347757887
DRFP_1078,0.0030172671599154243
Desc_NumEster,0.0029524451638475208
DRFP_1450,0.002944390308667406
DRFP_469,0.002854140401545559
DRFP_1251,0.0028374725720602656
DRFP_1440,0.002827689191127787
DRFP_1987,0.0027907491358413316
DRFP_330,0.0027534126157207463
DRFP_1244,0.00273246764954555
DRFP_2034,0.002706147723385684
DRFP_750,0.0026949317180764852
DRFP_1355,0.0026325914082975387
DRFP_373,0.0026252016563045643
DRFP_1317,0.0025556766625170917
DRFP_369,0.0025303128739093787
DRFP_1129,0.0025166087189692704
DRFP_1766,0.0025162135366903365
DRFP_1297,0.0025053343438809937
DRFP_787,0.002497513246578508
DRFP_1837,0.002493593914255016
DRFP_1246,0.0024839435641567757
DRFP_36,0.0024836524078743673
