fold,train_mae,val_mae,train_rmse,val_rmse,train_r2,val_r2
1,9.405099970160347,12.220802679214518,12.310713105515566,16.27002533119996,0.572428381677657,0.20706723940689442
2,9.390897750741983,12.734898944455374,12.071117701423246,16.827008757610514,0.5838592205834807,0.19384278663112664
3,9.713178294419256,11.242591498591391,12.71554436370959,14.190445365069685,0.5550473215890862,0.3248704980034085
4,9.418901341026624,12.385344151530166,12.21912189705439,16.034729423026413,0.5789373136238227,0.22747257916236918
5,9.096506557743618,13.356043427221055,11.74958789831774,17.900203546413078,0.5809968690631335,0.26278856013473884
